"Uniprot","Full.Uniprot","Description","Accession","R1.X127_N.126","R2X127_N.126","R1.X127_C.126","R1.X128_N.126","R2X127_C.126","R2X128_N.126","R1.X128_C.126","R1.X129_N.126","R2X128_C.126","R2X129_N.126","R1.X129_C.126","R1.X130_N.126","R2X129_C.126","R2X130_N.126","R1.X130_C.126","R1.X131.126","R2X130_C.126","R2X131.126"
"Q8H916","tr|Q8H916|Q8H916_ORYSJ","DUF1338 domain-containing protein OS=Oryza sativa subsp. japonica OX=39947 GN=OsJ_31810 PE=4 SV=1",22758313,0.917,0.976,0.938,1.027,0.988,0.985,1.826,1.841,1.79,1.428,1.144,0.947,1.181,1.272,0.995,0.868,1.058,0.98
"Q6YZ75","tr|Q6YZ75|Q6YZ75_ORYSJ","Putative methylcrotonyl-CoA carboxylase beta chain, mitochondrial OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0056L09.27 PE=4 SV=1",37806289,0.979,0.98,1.045,1.033,0.992,1.035,1.137,1.159,1.213,1.3,1.064,1.095,1.024,1.1,1.005,1.051,0.959,0.982
"Q7XTB4","tr|Q7XTB4|Q7XTB4_ORYSJ","OSJNBa0068L06.9 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0102600 PE=2 SV=2",38344766,1.093,0.941,1.057,0.923,1.144,1.156,1.3,1.162,1.297,1.369,1.215,0.916,1.211,0.95,1.07,0.954,1.057,0.818
"Q0J8R9","tr|Q0J8R9|Q0J8R9_ORYSJ","",38345525,0.93,0.967,1.276,0.982,1.239,1.362,2.1,1.986,2.2,2.279,1.495,1.123,1.455,1.46,1.117,0.965,1.136,1.064
"Q6Z8P2","tr|Q6Z8P2|Q6Z8P2_ORYSJ","Putative aminoacylase OS=Oryza sativa subsp. japonica OX=39947 GN=P0711H09.5 PE=4 SV=1",42408797,0.99,1.089,0.999,0.999,1.042,1.109,1.368,1.412,1.388,1.227,1.036,0.995,0.972,1.074,0.987,1.024,0.962,1.034
"Q6YSB2","tr|Q6YSB2|Q6YSB2_ORYSJ","Glutamate decarboxylase OS=Oryza sativa subsp. japonica OX=39947 GN=P0104B02.16-2 PE=2 SV=1",42409426,0.993,1.091,0.885,0.987,0.988,1.208,1.344,1.149,1.347,1.352,0.964,0.999,0.924,0.978,0.984,0.951,1.043,1.077
"Q6ZIF9","sp|Q6ZIF9|CYL1_ORYSJ","Cyclase-like protein 1 OS=Oryza sativa subsp. japonica OX=39947 GN=CYL1 PE=2 SV=1",46390045,1.013,0.907,0.957,0.964,0.946,0.999,1.201,1.175,1.197,1.222,0.97,1.043,1.012,1.014,0.966,1.057,0.957,0.946
"Q6H4V1","tr|Q6H4V1|Q6H4V1_ORYSJ","4-hydroxyphenylpyruvate dioxygenase OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0085K21.52 PE=3 SV=1",49387760,0.952,1.076,1.112,0.971,0.974,1.148,1.983,1.743,2.53,1.734,0.97,0.972,0.971,1.21,0.931,0.928,1.05,1.038
"Q0DCI1","tr|Q0DCI1|Q0DCI1_ORYSJ","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha OS=Oryza sativa subsp. japonica OX=39947 GN=PFP-ALPHA PE=2 SV=1",50725735,1.118,1.066,1.206,1.124,1.289,1.284,1.473,1.442,1.442,1.595,1.048,1.223,1.027,1.34,0.952,1.168,0.976,1.083
"Q0J0C4","tr|Q0J0C4|Q0J0C4_ORYSJ","Os09g0517000 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os09g0517000 PE=2 SV=1",50726253,0.993,0.986,0.832,0.77,0.803,1.048,1.088,1.054,1.049,0.989,0.963,1.052,0.845,0.862,0.748,0.793,0.872,0.933
"Q5Z5T3","tr|Q5Z5T3|Q5Z5T3_ORYSJ","Os06g0567900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0567900 PE=3 SV=1",53791994,1.157,1.08,0.787,0.802,0.796,1.071,1.297,0.885,1.205,1.418,0.754,0.833,0.853,0.968,0.866,0.837,0.864,1.093
"Q0JNR2","sp|Q0JNR2|CYT12_ORYSJ","Cysteine proteinase inhibitor 12 OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0270100 PE=2 SV=1",56783763,0.999,1.094,0.925,0.993,1.064,1.193,1.446,1.356,1.418,1.464,0.922,0.957,1.059,1.131,1.029,0.896,1.081,1.093
"Q5D214","tr|Q5D214|Q5D214_ORYSJ","Cathepsin B-like cysteine protease OS=Oryza sativa subsp. japonica OX=39947 GN=OsJ_17999 PE=2 SV=1",59895951,1.102,1.001,1.014,0.959,0.976,0.997,1.241,1.343,1.227,1.187,1.093,1.054,1.052,1.067,0.991,1.019,0.974,0.959
"Q5VQG4","sp|Q5VQG4|RFS_ORYSJ","Galactinol--sucrose galactosyltransferase OS=Oryza sativa subsp. japonica OX=39947 GN=RFS PE=1 SV=1",75110003,0.988,1.021,1.07,1.084,1.034,1,1.364,1.646,1.412,1.556,1.018,1.057,0.976,1.237,1.04,1.06,1.083,1.051
"Q84NJ4","sp|Q84NJ4|H2A3_ORYSJ","Probable histone H2A.3 OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0427700 PE=3 SV=1",75147390,1.127,1.135,0.816,1.025,0.946,1.174,1.061,1.29,1.099,1.288,0.897,0.945,0.969,0.98,1.052,1.012,1.127,1.106
"Q6YZX6","sp|Q6YZX6|ACOC_ORYSJ","Putative aconitate hydratase, cytoplasmic OS=Oryza sativa subsp. japonica OX=39947 GN=Os08g0191100 PE=3 SV=1",75225211,1.008,0.983,1.01,1.046,1.04,1.049,1.315,1.231,1.294,1.187,1.036,1.062,1.053,1.145,1.025,1.026,1.012,1.023
"Q6K669","sp|Q6K669|AMPL2_ORYSJ","Leucine aminopeptidase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0794700 PE=2 SV=1",75261364,0.956,0.953,0.982,0.907,1.009,1.04,1.261,1.196,1.205,1.153,1.023,0.994,1.005,1.027,1,0.878,0.973,0.922
"Q2QZU4","tr|Q2QZU4|Q2QZU4_ORYSJ","Auxin-repressed protein-like protein ARP1, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os11g44810 PE=4 SV=1",77552437,1.147,0.811,0.798,0.945,0.806,1.062,1.245,1.138,1.331,1.502,0.958,1.053,0.894,1.079,0.934,0.919,0.938,0.839
"Q0INM9","tr|Q0INM9|Q0INM9_ORYSJ","Os12g0428000 protein (Fragment) OS=Oryza sativa subsp. japonica OX=39947 GN=Os12g0428000 PE=4 SV=1",77555171,1.066,1.198,1.138,1.085,1.364,1.43,2.286,2.578,2.573,4.851,0.923,1.067,1.094,1.919,0.974,1.106,1.123,1.114
"Q2QPR0","tr|Q2QPR0|Q2QPR0_ORYSJ","Phenylalanine ammonia-lyase OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os12g33610 PE=3 SV=1",77555961,0.831,0.921,0.552,0.615,0.618,0.788,0.794,0.746,0.794,0.666,0.663,0.671,0.702,0.554,0.728,0.726,0.745,0.791
"A3AYP1","tr|A3AYP1|A3AYP1_ORYSJ","Os04g0679400 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0679400 PE=2 SV=1",90398985,1.322,0.847,0.794,1.027,0.773,0.976,1.642,2.145,1.454,1.268,0.736,1.134,0.807,1.285,0.877,0.97,0.833,0.95
"Q10NA1","tr|Q10NA1|Q10NA1_ORYSJ","Heat shock cognate 70 kDa protein, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g16920 PE=3 SV=1",108707472,1.017,1.013,1.242,1.136,1.225,1.363,6.322,5.646,5.244,5.668,2.009,1.35,1.851,3.715,1.158,1.212,1.108,1.147
"Q6AUV1","sp|Q6AUV1|XDH_ORYSJ","Xanthine dehydrogenase OS=Oryza sativa subsp. japonica OX=39947 GN=XDH PE=2 SV=1",108708957,0.963,0.953,1.191,0.964,1.148,1.108,1.687,1.688,1.745,1.53,1.111,1.033,1.086,1.095,1.02,1.03,0.953,1.019
"Q10FJ2","tr|Q10FJ2|Q10FJ2_ORYSJ","Pleckstriny domain-containing protein, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g46340 PE=4 SV=1",108710273,1.016,1.242,0.9,0.948,0.817,1.215,1.108,1.27,1.275,1.179,0.802,0.895,1.041,0.868,1.051,1.185,1.148,0.994
"Q2QME8","tr|Q2QME8|Q2QME8_ORYSJ","Homocysteine S-methyltransferase 3, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os12g41390 PE=4 SV=2",108862938,1.12,1.002,1.105,1.16,1.056,0.886,1.256,1.387,1.26,1.461,1.049,1.01,0.996,1.246,1.237,1.335,1.069,1.119
"Q5SNH5","tr|Q5SNH5|Q5SNH5_ORYSJ","ATP-dependent 6-phosphofructokinase OS=Oryza sativa subsp. japonica OX=39947 GN=PFK PE=3 SV=1",115435030,0.964,1.248,1.061,1.069,1.279,1.372,1.126,1.217,1.391,1.601,0.959,0.968,1.055,0.985,1.077,1.065,1.13,1.13
"Q9LE07","tr|Q9LE07|Q9LE07_ORYSJ","Os01g0210600 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0210600 PE=2 SV=1",115435222,1.138,1.014,1.09,1.034,1.088,1.148,1.596,1.527,1.623,1.811,0.839,1.033,0.916,1.226,0.977,1.015,1.095,1.073
"Q655Q2","tr|Q655Q2|Q655Q2_ORYSJ","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0314100 PE=3 SV=1",115436224,0.852,0.981,0.954,0.929,0.92,1.012,1.236,1.137,1.296,0.93,0.955,0.852,0.906,1.024,0.919,0.9,1.073,0.949
"Q942L2","sp|Q942L2|PDI22_ORYSJ","Protein disulfide isomerase-like 2-2 OS=Oryza sativa subsp. japonica OX=39947 GN=PDIL2-2 PE=2 SV=1",115436382,0.98,1.047,1.01,0.949,1.023,1.013,1.227,1.099,1.394,1.256,1.129,1.134,1.073,1.103,1.015,1.017,1.047,1.069
"Q9AS33","sp|Q9AS33|NPL4_ORYSJ","NPL4-like protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0377700 PE=2 SV=1",115436652,0.957,0.983,1.216,0.891,1.106,1.071,1.313,1.448,1.174,1.177,1.204,1.083,1.018,0.919,0.894,1.005,1.091,0.972
"Q5QMT0","sp|Q5QMT0|BGL01_ORYSJ","Beta-glucosidase 1 OS=Oryza sativa subsp. japonica OX=39947 GN=BGLU1 PE=2 SV=1",115436870,1.086,0.898,1.127,1.006,1.002,1.276,2.08,1.66,1.848,1.653,1.522,1.163,1.182,1.241,0.9,0.961,0.837,0.945
"Q94E74","tr|Q94E74|Q94E74_ORYSJ","Os01g0511100 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0511100 PE=2 SV=1",115436928,0.941,1.042,0.967,1.1,1.044,1.105,2.957,2.636,1.879,1.715,1.503,1.28,1.183,1.502,1.096,1.018,0.958,1.03
"Q5QM39","tr|Q5QM39|Q5QM39_ORYSJ","Os01g0528800 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0528800 PE=2 SV=1",115437194,1.017,1.023,0.746,0.861,0.936,0.953,0.956,0.976,0.985,0.997,0.82,0.877,0.839,0.839,0.948,0.882,0.956,1.022
"Q8S9U5","tr|Q8S9U5|Q8S9U5_ORYSJ","Os01g0558100 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0558100 PE=4 SV=1",115437592,0.986,1.017,1.096,1.015,0.948,1.39,1.747,1.743,2.057,2.142,1.246,1.242,1.195,1.19,1.074,1.093,1.033,0.829
"P40392","sp|P40392|RIC1_ORYSJ","Ras-related protein RIC1 OS=Oryza sativa subsp. japonica OX=39947 GN=RIC1 PE=2 SV=2",115437604,0.986,0.979,0.925,1.01,0.916,0.971,1.235,1.295,1.168,1.097,0.964,0.928,0.976,1.002,1.115,1.074,1.053,0.97
"Q0JKR6","tr|Q0JKR6|Q0JKR6_ORYSJ","Os01g0654400 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0654400 PE=4 SV=1",115438937,1.076,0.91,0.901,1.011,1.18,1.246,4.432,5.007,4.828,8.275,1.646,1.565,1.561,3.82,1.038,0.864,1.107,1.039
"Q5N8I8","tr|Q5N8I8|Q5N8I8_ORYSJ","Os01g0700000 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0700000 PE=2 SV=1",115439405,0.995,1.125,0.986,1.013,1.256,1.417,1.22,1.556,1.364,1.33,1.083,0.95,1.073,1.058,1.077,0.975,1.197,1.23
"A0A0P0","tr|A0A0P0VAH1|A0A0P0VAH1_ORYSJ","Os01g0849000 protein (Fragment) OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0849000 PE=4 SV=1",115441055,1.077,1.504,1.604,1.269,1.705,2.229,3.36,4.891,4.387,5.983,1.291,1.259,1.597,2.278,1.091,1.313,1.115,1.102
"Q5N7Y1","tr|Q5N7Y1|Q5N7Y1_ORYSJ","Os01g0910900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0910900 PE=2 SV=1",115441753,1.16,1.508,1.084,1.271,1.34,2.019,3.183,3.227,5.17,3.588,1.125,1.573,1.67,1.764,1.376,1.016,1.697,1.549
"Q9LDN2","sp|Q9LDN2|UMPS1_ORYSJ","Uridine 5'-monophosphate synthase OS=Oryza sativa subsp. japonica OX=39947 GN=UMPS1 PE=2 SV=1",115442265,1.029,0.955,1.022,0.758,0.956,1.089,1.31,1.738,1.275,1.303,0.95,1.056,1.077,1.161,1.109,1.079,0.945,0.962
"Q5JKZ9","tr|Q5JKZ9|Q5JKZ9_ORYSJ","Os01g0952600 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0952600 PE=3 SV=1",115442283,0.952,0.962,1.011,0.989,0.979,0.967,1.385,1.351,1.321,1.008,1.195,1.095,1.114,1.081,0.94,0.924,0.967,1.009
"Q6ZFJ9","tr|Q6ZFJ9|Q6ZFJ9_ORYSJ","60 kDa chaperonin beta subunit OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0102900 PE=2 SV=1",115443643,0.881,1.158,1.173,1.076,1.137,1.153,1.459,1.26,1.471,1.7,1.103,1.1,1.381,1.496,1.199,0.908,1.085,1.213
"Q6ZH98","tr|Q6ZH98|Q6ZH98_ORYSJ","Peptidyl-prolyl cis-trans isomerase OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0121300 PE=2 SV=1",115443875,1.029,0.977,0.951,0.977,0.974,1.021,1.337,1.226,1.346,1.248,0.94,1.017,0.957,1.143,0.908,1.003,0.92,1.018
"Q6H7M1","sp|Q6H7M1|FAH_ORYSJ","Fumarylacetoacetase OS=Oryza sativa subsp. japonica OX=39947 GN=FAH PE=2 SV=1",115444831,1.149,1.015,0.957,1.042,1.009,1.045,1.88,1.899,1.641,1.421,1.168,1.089,1.22,1.34,1.045,1.044,1.013,1.012
"Q6Z6L4","sp|Q6Z6L4|APM1A_ORYSJ","Aminopeptidase M1-A OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0218200 PE=2 SV=1",115445047,0.973,0.985,0.977,0.93,0.931,1,1.227,1.233,1.162,1.139,1.048,0.989,1.007,1.009,1.018,0.96,0.974,1.035
"Q6K7A3","tr|Q6K7A3|Q6K7A3_ORYSJ","Os02g0469600 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0469600 PE=2 SV=1",115446097,1.091,0.776,0.679,0.573,0.596,0.73,1.18,1.188,1.261,0.78,1.055,1.268,1.131,0.756,0.72,0.619,0.601,0.695
"Q6H795","sp|Q6H795|CLPD1_ORYSJ","Chaperone protein ClpD1, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=CLPD1 PE=2 SV=1",115446435,1.012,0.92,1.052,1.011,1.077,0.857,1.55,2.09,1.567,1.377,1.009,0.976,0.953,1.221,0.909,0.977,0.996,0.903
"Q6K623","tr|Q6K623|Q6K623_ORYSJ","Os02g0612900 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0612900 PE=2 SV=1",115447273,0.881,0.967,0.744,0.668,0.727,1.184,1.389,1.368,1.42,1.367,0.791,0.747,0.818,0.843,0.78,0.726,0.869,0.888
"Q6ESJ0","tr|Q6ESJ0|Q6ESJ0_ORYSJ","Glutathione peroxidase OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0664000 PE=2 SV=1",115447759,0.941,1.021,0.913,0.91,0.953,0.912,1.186,1.148,1.126,1.313,0.924,0.961,1.002,1.067,0.94,0.953,0.958,0.999
"Q8S3R7","tr|Q8S3R7|Q8S3R7_ORYSJ","Ethylene-responsive protein-like OS=Oryza sativa subsp. japonica OX=39947 GN=49D11.15 PE=2 SV=1",115448199,0.923,1.07,0.938,1.009,0.969,0.994,1.665,1.691,1.76,1.736,1.006,0.84,1.159,1.444,0.872,1.14,0.956,1.056
"Q6Z744","tr|Q6Z744|Q6Z744_ORYSJ","Dihydropyrimidine dehydrogenase OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0736400 PE=2 SV=1",115448547,0.994,0.931,0.948,1.028,0.931,1.013,1.456,1.559,1.456,1.341,1.079,0.953,1.086,1.65,1.003,1.013,0.981,1.045
"Q6Z6A7","tr|Q6Z6A7|Q6Z6A7_ORYSJ","Annexin OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0753800 PE=3 SV=1",115448739,1.089,1.159,1.058,1.087,1.06,1.116,1.778,1.527,1.94,2.314,1.235,1.093,1.328,2.308,0.994,1.051,1.056,1.105
"E5D3K1","tr|E5D3K1|E5D3K1_ORYSJ","22 kDa heat shock protein OS=Oryza sativa subsp. japonica OX=39947 PE=2 SV=1",115448791,0.576,0.926,0.4,0.456,0.337,0.278,1.065,0.975,0.983,0.984,0.294,0.347,0.213,0.229,0.655,0.754,0.628,0.955
"Q6K689","tr|Q6K689|Q6K689_ORYSJ","Os02g0792800 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0792800 PE=2 SV=1",115449167,0.982,0.93,0.893,0.872,0.89,1.016,1.223,1.25,1.295,1.008,1.055,0.974,1.017,0.986,0.903,0.882,0.9,0.941
"P48642","sp|P48642|GSHRC_ORYSJ","Glutathione reductase, cytosolic OS=Oryza sativa subsp. japonica OX=39947 GN=GRC2 PE=2 SV=2",115449517,0.988,1.032,0.993,0.983,1.058,0.994,1.416,1.404,1.326,1.389,1.088,1.037,1.102,1.132,1.02,0.919,1.047,1.048
"Q84P96","tr|Q84P96|Q84P96_ORYSJ","3-ketoacyl-CoA thiolase-like protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0817700 PE=2 SV=1",115449669,0.951,0.889,0.841,0.887,0.85,0.862,1.449,1.247,1.465,0.899,0.818,0.844,0.797,0.967,0.788,0.896,0.83,0.87
"Q6KAA6","tr|Q6KAA6|Q6KAA6_ORYSJ","Os02g0824500 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0824500 PE=2 SV=1",115449889,0.802,1.315,1.254,1.322,1.588,1.59,3.363,3.374,3.479,3.864,2.341,1.533,2.3,2.343,1.178,1.114,1.185,1.248
"Q0DW19","tr|Q0DW19|Q0DW19_ORYSJ","Os03g0101600 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os03g0101600 PE=4 SV=1",115450109,0.992,0.91,0.872,0.906,0.922,1.116,1.148,1.288,1.283,1.23,0.993,1.004,0.923,1.032,0.954,0.839,0.916,1.01
"Q10SR3","tr|Q10SR3|Q10SR3_ORYSJ","70 kDa heat shock protein OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g02260 PE=2 SV=1",115450273,0.921,1.026,0.84,0.831,0.893,1.033,1.394,1.284,1.387,1.406,0.953,0.893,0.943,1.088,0.956,0.907,1.007,1.139
"Q10S64","tr|Q10S64|Q10S64_ORYSJ","Expressed protein OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g04080 PE=2 SV=1",115450545,0.871,1.206,0.845,0.987,1.011,1.11,2.63,3.042,3.827,4.488,1.163,0.913,1.296,1.711,0.782,0.868,1.154,1.485
"Q8H8C7","sp|Q8H8C7|CEBIP_ORYSJ","Chitin elicitor-binding protein OS=Oryza sativa subsp. japonica OX=39947 GN=CEBIP PE=1 SV=1",115450549,1,0.952,0.808,0.715,0.776,0.986,1.258,0.997,1.327,0.876,1.045,1.159,0.943,0.947,0.74,0.806,0.772,0.901
"Q10PD0","tr|Q10PD0|Q10PD0_ORYSJ","Purple acid phosphatase OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g13540 PE=2 SV=1",115451799,1.049,1.202,1.197,1.044,1.139,1.543,2.245,2.053,1.924,1.676,1.393,1.408,1.221,1.136,1.102,1.116,1.056,1.147
"Q10NP6","tr|Q10NP6|Q10NP6_ORYSJ","Os03g0263500 protein OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g15700 PE=2 SV=1",115452067,1.053,1.134,1.011,1.061,0.905,1.042,1.092,1.24,1.126,0.972,0.92,0.802,0.95,0.91,1.01,1.071,0.987,1.014
"Q10NC7","tr|Q10NC7|Q10NC7_ORYSJ","Os03g0274000 protein OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g16690 PE=3 SV=1",115452201,1.067,1.083,0.976,0.971,1.034,1.058,1.095,1.211,1.143,1.123,0.936,0.981,0.984,0.904,1.027,0.933,1.001,1.01
"Q10N17","tr|Q10N17|Q10N17_ORYSJ","Arogenate dehydratase OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g17730 PE=2 SV=1",115452343,0.975,0.948,0.958,0.963,0.878,0.94,1.053,1.019,1.092,1.033,0.854,1.01,0.787,0.96,0.801,0.916,0.873,0.895
"Q10MK9","tr|Q10MK9|Q10MK9_ORYSJ","AMP-binding enzyme family protein, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g19250 PE=4 SV=1",115452559,1.188,1.034,0.863,1.218,0.815,0.938,1.879,1.982,1.74,1.742,0.953,1.003,0.883,1.429,1.034,1.41,0.973,1.03
"Q10MK4","tr|Q10MK4|Q10MK4_ORYSJ","Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g19290 PE=2 SV=1",115452567,0.913,1.038,1.267,1.142,1.09,1.387,9.982,9.532,2.948,3.061,5.652,2.932,2.013,2.386,1.147,1.028,0.967,1.067
"Q10M57","tr|Q10M57|Q10M57_ORYSJ","14 kDa zinc-binding protein, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g20630 PE=2 SV=1",115452733,0.976,1.005,0.888,0.979,0.94,0.861,1.098,1.15,1.156,1.178,0.87,0.861,0.934,1.015,0.949,1.028,0.952,0.934
"Q10M12","sp|Q10M12|40C1_ORYSJ","Ricin B-like lectin R40C1 OS=Oryza sativa subsp. japonica OX=39947 GN=R40C1 PE=1 SV=1",115452789,1.362,1.143,0.999,1.129,0.98,1.031,1.517,1.662,1.495,1.754,1.047,1.149,0.99,1.732,0.936,1.187,0.944,1.031
"Q10LW8","tr|Q10LW8|Q10LW8_ORYSJ","Hydroxyacylglutathione hydrolase, putative, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g21460 PE=2 SV=1",115452831,1.036,1.005,1.022,0.976,1.08,1.043,1.206,1.258,1.219,1.261,1.01,1.063,1.031,1.161,0.95,0.968,1.001,1.049
"K4FDV3","tr|K4FDV3|K4FDV3_ORYSJ","Sucrose synthase OS=Oryza sativa subsp. japonica OX=39947 PE=2 SV=1",115452927,0.963,0.9,1.042,1.072,1.01,1.098,1.935,1.843,2.383,2.42,1.249,1.156,1.393,2.037,0.968,1.047,0.924,0.972
